hhmm,presence_rate,vol_share_mean
09:00,0.9923774380652894,0.11630816964209983
09:15,0.9885250048345595,0.06305157634666274
09:30,0.9923774380652894,0.05048933130940991
09:45,0.9923774380652894,0.04339460382694761
10:00,1.0,0.04094413557563569
10:15,0.9961475667692702,0.03554180988231773
10:30,1.0,0.0336644790974228
10:45,0.9961475667692702,0.03159592227231878
11:00,1.0,0.029378332999971092
11:15,0.9999230769230769,0.02601510706973817
11:30,0.9960706436923471,0.02338387067432474
11:45,1.0,0.022059673277232242
12:00,1.0,0.021395180082446463
12:15,0.9961475667692702,0.02085614084015118
12:30,1.0,0.02185449658275795
12:45,0.9961475667692702,0.023093398071849642
13:00,1.0,0.02648698527255812
13:15,1.0,0.02724855223737486
13:30,0.9961475667692702,0.027676457871701837
13:45,1.0,0.028112361620787688
14:00,0.9961475667692702,0.030760357372445323
14:15,1.0,0.03241124285809216
14:30,1.0,0.03462907658521427
14:45,0.9961475667692702,0.03936485415650224
15:00,1.0,0.04355101029213823
15:15,1.0,0.017654467635660177
15:30,1.0,0.09030741726371874
15:45,0.003847070106102902,0.028215336379129808
16:00,0.03404575156153193,0.00471963348398558
16:15,0.03404037011170604,0.0025692200142197817
16:30,0.03419959771537809,0.026155431141428667
16:45,0.02981946584583852,0.0010181457664929067
17:00,0.030050235076607756,0.001570879330432188
17:15,0.03003947217695597,0.0015487170849292798
17:30,0.03012715815353083,0.0015214718590248395
17:45,0.030429469011397245,0.0013303754818633465
18:00,0.03043485046122314,0.0021758283805742755
18:15,0.029891007472935705,0.0017441787177136427
18:30,0.03020408123045391,0.001354735612898908
18:45,0.030121776703704937,0.0016310827027124063
19:00,0.03043485046122314,0.0016871882755153922
19:15,0.03066561969199237,0.001654166665130221
19:30,0.03081946584583852,0.0024885604108246862
19:45,0.03081946584583852,0.004724039701836265
