rfe_n_features,rfe_step,selected_features,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,rmse,mae,r2
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",300,3,0.03,1.0,0.8,0.10502608686960366,0.07926151718456,-0.006572617680177695
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",300,3,0.03,1.0,1.0,0.1045810121466447,0.07877685252943033,0.0019405200613610285
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",300,3,0.1,0.8,0.8,0.1122626858921144,0.08503058983872312,-0.15006291616367418
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",300,3,0.1,0.8,1.0,0.11548534932259165,0.08756386201903875,-0.21703908981349906
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",300,3,0.1,1.0,0.8,0.1112818208249642,0.08444084435150692,-0.1300539793554889
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",300,3,0.1,1.0,1.0,0.11360307078141058,0.08662071267168478,-0.1776897209446271
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",300,5,0.03,0.8,0.8,0.1091552326783669,0.08139260290492865,-0.0872761514540461
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",300,5,0.03,0.8,1.0,0.1108565742648902,0.08304508868076052,-0.1214338222357556
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",300,5,0.03,1.0,0.8,0.10828807834598599,0.0808973199484217,-0.07006962551808016
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",300,5,0.03,1.0,1.0,0.10981075369927154,0.08181658261449992,-0.10037442402184515
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",300,5,0.1,0.8,0.8,0.11480411993959994,0.08560355524861732,-0.20272320506285624
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",300,5,0.1,0.8,1.0,0.1152977074091935,0.08540154078534513,-0.21308738480959843
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",300,5,0.1,1.0,0.8,0.1136893931937199,0.08613161796561554,-0.17948015919646498
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",300,5,0.1,1.0,1.0,0.11406868592123864,0.08562112197724576,-0.1873632957547149
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",500,2,0.03,0.8,0.8,0.10414806074992079,0.0788215307094774,0.010187080228113321
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",500,2,0.03,0.8,1.0,0.10479622042869294,0.07955225487198912,-0.0021713480737328705
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",500,2,0.03,1.0,0.8,0.1072272904353649,0.08115020076188696,-0.049207548217011565
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",500,2,0.03,1.0,1.0,0.10825861722187109,0.08172039061994361,-0.06948745311122462
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",500,2,0.1,0.8,0.8,0.11117194984088483,0.08440249455193485,-0.12782362674555436
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",500,2,0.1,0.8,1.0,0.11170452258848163,0.0841270480280552,-0.13865525901438192
