date,ret_open30,ret_mid,ret_late,ret_auction,ret_intraday,rv_intraday,range_pct,close_loc,vwap_dev,up_bar_ratio,vshare_open30,vshare_late,vshare_auction,vol_ret_corr,bm_ret_1d,bm_ret_20d,bm_gap
2025-09-01,-0.03327810992819772,0.15447779111644658,-0.07247802950744757,0.023262730667993496,0.08466599472371747,0.21286914765906362,0.0751500600240096,0.07534756424571708,-0.022232893157262904,0.159326663486941,-0.22093637454981993,-0.13459783913565426,-0.002352941176470588,0.173109243697479,,,
2025-09-02,0.012294393116304123,-0.20634501790870635,-0.19393756328142048,-0.15275574677007697,-0.19160583941605838,-0.004177771376267246,0.1023794088988709,-0.30340333189672586,-0.32351316967715443,-0.4216759727945524,-0.057192249530279196,0.0473000552370487,0.07193450024883143,-0.10420418260344741,-0.18286153334282382,,-0.021364171068325864
2025-09-03,0.007356836979763647,0.25618247298919566,-0.04368964317597031,0.0664296661325929,0.11918653512523338,-0.18549819927971187,-0.11615846338535413,0.16436845090147403,0.19154861944777912,0.07304507266416085,0.07937575030012005,0.18012004801920767,0.17762304921968786,-0.3254261704681872,0.19322767127813886,,-0.04636080285197855
2025-09-04,0.006675471293160843,0.02064875507810248,-0.15987129690031507,-0.1484403690015028,0.031839792683961816,0.20825930372148857,0.1392076830732293,-0.10826670330773883,-0.15764705882352942,0.05380711358863869,-0.16369747899159662,0.127875150060024,0.21853541416566627,-0.08043217286914765,-0.15247562861474925,,-0.1636014405762305
2025-09-05,-0.11903961584633853,0.06430389502839347,-0.1127382505494583,-0.21510880740473676,-0.11222088835534214,0.14496998799519806,0.008019207683073229,-0.16044372985655883,-0.09349339735894358,0.030366772590794164,-0.012436974789915966,0.020120048019207682,-0.07918367346938776,0.3103481392557023,0.16004801920768308,,0.4455169784752847
2025-09-08,-0.09100513896848815,0.06770870851191743,0.10526064150122798,-0.12182331926276574,0.010084275735817489,0.14775510204081632,0.06842737094837935,0.06839084696675726,0.07034813925570228,0.3086970542811098,-0.1365186074429772,0.16581032412965185,0.1228811524609844,0.11049219687875149,0.10184873949579833,,0.10708284937211532
2025-09-09,0.0015369837138703565,0.24638655462184872,-0.1409339162593938,-0.05722360081931425,0.19865546218487393,0.15342136854741897,0.21109750540311278,0.28498007812057785,0.16581032412965185,0.34729809584299554,0.21603841536614646,-0.05517406962785113,-0.0017767106842737094,-0.024345738295318126,0.2188287834672395,,0.09436000867086367
2025-09-10,-0.1171188475390156,0.09080432172869149,0.25026110928444334,0.06573820492377781,0.021848739495798315,-0.07418967587034814,0.03625450180072028,0.11528208646056766,0.1276830732292917,0.07585184813823136,0.037022809123649456,0.1262424969987995,0.06496998799519808,-0.040384153661464584,-0.025306730060837224,,0.08323924606839607
2025-09-11,0.2000961076461043,-0.048644625335157704,0.028225250373341577,-0.09703235439497208,0.06924536005261343,0.05027611044417767,0.09032412965186075,-0.03964520499530491,0.011380552220888355,0.2400326721714251,0.23966386554621846,-0.13555822328931572,-0.1332533013205282,0.012725090036014405,0.11087635054021608,,0.2127301976651023
2025-09-12,0.05805522208883554,-0.007645340390734771,0.07303989051895059,-0.03403045120156401,0.1456562461696172,-0.023673469387755098,-0.05949722684132319,0.08764557633106862,0.05805522208883554,0.13977852290233542,0.17925570228091237,-0.17675870348139258,0.07889555822328932,0.02444177671068427,0.201056682070666,,0.266970965231549
