feature,horizon,n_dates,ic_mean,ic_std,icir,t_nw,hit_rate,ic_1st_half,ic_2nd_half,rank_corr_w_ret1d
ret_open30,1,248,-0.029854385268049618,0.2168628013229757,-0.13766485116821495,-2.1282988126653364,0.46774193548387094,-0.052728265839396826,-0.006980504696702408,0.5420153237606394
ret_mid,1,248,-0.02339492859396247,0.22571841152595917,-0.10364652327562517,-1.7460054867189965,0.5,-0.04010187821284041,-0.006687978975084518,0.5230986515867619
ret_late,1,248,-0.00884588726162129,0.21998925686288864,-0.04021054204085344,-0.593335333052735,0.4879032258064516,-0.025526718263873104,0.007834943740630524,0.0970482047294313
ret_auction,1,248,-0.03544886566223719,0.1705107737609455,-0.2078980986382489,-3.109707687906056,0.42338709677419356,-0.04522281178836502,-0.025674919536109356,0.14952506011610775
ret_intraday,1,248,-0.04669510677746424,0.22468278129377234,-0.20782681480344714,-3.355573767922594,0.4112903225806452,-0.07684924699419025,-0.016540966560738227,0.7979743806892818
rv_intraday,1,248,-0.08367708032211374,0.24318138607189804,-0.34409327816469515,-5.667139627634899,0.36693548387096775,-0.08160178370772599,-0.08575237693650146,0.2275851865961713
range_pct,1,248,-0.07531696083949437,0.222697427594253,-0.33820310208845006,-5.555846489426398,0.3790322580645161,-0.07374785048296832,-0.07688607119602038,0.13751844433572488
close_loc,1,248,-0.04083328578797572,0.2003660377158438,-0.20379344849791808,-3.4634747181879755,0.45161290322580644,-0.060389588430102906,-0.021276983145848544,0.6224150769838527
vwap_dev,1,248,-0.03266884968954476,0.21073955393459887,-0.1550200191639546,-2.5578760830295386,0.4596774193548387,-0.04471514578053819,-0.02062255359855133,0.5199250888151704
up_bar_ratio,1,248,-0.045268174481724634,0.19056121879670423,-0.23755187318579193,-3.843430026018517,0.42338709677419356,-0.0649894778622734,-0.025546871101175875,0.4793611602522022
vshare_open30,1,248,-0.039435793643927915,0.21333945324847828,-0.18484997989563942,-3.3211977949452267,0.4112903225806452,-0.023552595236734034,-0.0553189920511218,0.02969723267158932
vshare_late,1,248,0.029728630275833723,0.17498755280456477,0.1698899710257461,2.6953151754831195,0.5645161290322581,0.017185446570884357,0.04227181398078309,-0.12105288595444746
vshare_auction,1,248,0.06691262007818079,0.21851780643545163,0.3062112931192462,5.094041350492714,0.6451612903225806,0.067795199076984,0.06603004107937759,-0.07039282650953844
vol_ret_corr,1,248,-0.04236503449952257,0.1656672993910066,-0.25572357764783116,-4.247305860274893,0.39919354838709675,-0.02551886046876006,-0.05921120853028508,0.10403831446724146
bm_ret_1d,1,247,-0.08775676346433017,0.23587155095808748,-0.3720531921203327,-5.886228983598359,0.3360323886639676,-0.09928989599807557,-0.07631664006392144,1.0
bm_ret_20d,1,228,-0.008569984014365076,0.260903164003585,-0.032847374799361645,-0.5375463766439037,0.4868421052631579,-0.009632623375223201,-0.007678738098806644,0.19031692654510604
bm_gap,1,247,-0.06899442659538997,0.25421201343906386,-0.2714050593518797,-3.6977541777965404,0.3562753036437247,-0.051593802824136475,-0.08625472275558496,0.4296358461092247
ret_open30,5,244,-0.0033664083561402605,0.20065531306488682,-0.01677707061288554,-0.27724957539773293,0.48360655737704916,-0.0072477320009307795,0.0006442927434766072,0.5420153237606394
ret_mid,5,244,-0.0021852833512406565,0.21930093974130072,-0.009964769662266542,-0.16615293272837373,0.5245901639344263,0.006752174291931504,-0.011420656249185228,0.5230986515867619
ret_late,5,244,-0.02781396856160995,0.19388014488336877,-0.14345960272694153,-2.0866200188528645,0.4262295081967213,-0.021480180175867284,-0.03435888322687737,0.0970482047294313
ret_auction,5,244,-0.019945592067953145,0.17121593826440437,-0.11649378130411948,-1.537606717620194,0.44672131147540983,-0.0324794501670586,-0.006993938698877505,0.14952506011610775
ret_intraday,5,244,-0.01297766833847435,0.20657990808384466,-0.06282154183749128,-0.9895359746328591,0.5327868852459017,-0.0032996300388138853,-0.022978307914790167,0.7979743806892818
rv_intraday,5,244,-0.04956208887629107,0.2771110698952147,-0.17885279319599975,-1.5830520936429537,0.430327868852459,-0.0372035327088272,-0.062332596916003714,0.2275851865961713
range_pct,5,244,-0.05040613183985259,0.25133238052401385,-0.20055566152979828,-1.8561090028723066,0.42213114754098363,-0.04642079331053196,-0.05452431498681725,0.13751844433572488
close_loc,5,244,-0.026183722502148846,0.20739554407454927,-0.12625016906215203,-1.8786352095985577,0.4672131147540984,-0.013958554203848918,-0.038816396410392105,0.6224150769838527
vwap_dev,5,244,-0.015599109472214797,0.21021022442937948,-0.07420718718396757,-1.2447119260118937,0.45901639344262296,-0.008764096176129294,-0.02266195654483648,0.5199250888151704
up_bar_ratio,5,244,-0.018860621226829286,0.17971609343786038,-0.10494675722155421,-1.3293399264844985,0.5122950819672131,-0.023915646909056395,-0.013637094688527937,0.4793611602522022
vshare_open30,5,244,-0.043788051154494835,0.20962161682206595,-0.2088909141067433,-2.214901780772705,0.42213114754098363,-0.016516168284160682,-0.07196899678717343,0.02969723267158932
vshare_late,5,244,0.029732915507071266,0.1668282753829878,0.17822467707475478,2.417047066211215,0.5573770491803278,-0.000987723005575358,0.061477575303472774,-0.12105288595444746
vshare_auction,5,244,0.047298877930375,0.2253915063992102,0.209852086646956,1.7835237925352194,0.5778688524590164,0.03173441431045724,0.06338215700429002,-0.07039282650953844
vol_ret_corr,5,244,-0.010428086264960277,0.1800269793775266,-0.05792513044998661,-0.7048178463050685,0.4918032786885246,0.0009662121528184041,-0.022202194629998246,0.10403831446724146
bm_ret_1d,5,243,-0.03476217463592363,0.2166816516854842,-0.16042971043243343,-2.195617917146639,0.4609053497942387,-0.015789321838013168,-0.054209348753781854,1.0
bm_ret_20d,5,224,-0.014006742635179882,0.2593320276760023,-0.054010847640767586,-0.464832746653526,0.4419642857142857,-0.03838954023219792,0.007125015282235746,0.19031692654510604
bm_gap,5,243,-0.03173799854772415,0.244735702803822,-0.12968274830405538,-1.795987434981124,0.49382716049382713,-0.014709345180128291,-0.0491923682495099,0.4296358461092247
