method,n_features,step,n_estimators,max_depth,max_features,features,rmse
RFE + Random Forest,15,2.0,500,,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'roc_20', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'volume_ratio_20', 'target_return_5d']",0.050816912921916146
RFE + Random Forest,15,0.1,500,,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'roc_20', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'volume_ratio_20', 'target_return_5d']",0.050816912921916146
RFE + Random Forest,20,1.0,300,,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'gap', 'sma_60', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'volume_sma_20', 'volume_ratio_20', 'target_return_5d']",0.05085447636619188
RFE + Random Forest,20,1.0,100,10.0,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'gap', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_change_1d', 'volume_sma_20', 'volume_ratio_20', 'target_return_5d']",0.050856958435865796
RFE + Random Forest,20,0.1,100,10.0,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'gap', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_change_1d', 'volume_sma_20', 'volume_ratio_20', 'target_return_5d']",0.050856958435865796
RFE + Random Forest,20,2.0,100,10.0,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'gap', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_change_1d', 'volume_sma_20', 'volume_ratio_20', 'target_return_5d']",0.050856958435865796
RFE + Random Forest,15,0.1,100,,0.5,"['return_1d', 'return_10d', 'intraday_return', 'gap', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'roc_20', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'volume_ratio_20', 'target_return_5d']",0.0508760414012568
RFE + Random Forest,15,1.0,100,,0.5,"['return_1d', 'return_10d', 'intraday_return', 'gap', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'roc_20', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'volume_ratio_20', 'target_return_5d']",0.05087604140125681
RFE + Random Forest,15,2.0,100,,0.5,"['return_1d', 'return_10d', 'intraday_return', 'gap', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'roc_20', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'volume_ratio_20', 'target_return_5d']",0.05087604140125681
RFE + Random Forest,15,2.0,300,,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'roc_20', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'volume_ratio_20', 'target_return_5d']",0.050902780579565376
RFE + Random Forest,15,0.1,300,,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'roc_20', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'volume_ratio_20', 'target_return_5d']",0.050902780579565376
RFE + Random Forest,20,1.0,300,10.0,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'gap', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_sma_20', 'volume_ratio_20', 'target_return_5d']",0.0509062895989988
RFE + Random Forest,20,1.0,500,,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'gap', 'sma_60', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'volume_sma_20', 'volume_ratio_20', 'target_return_5d']",0.05096819958767496
RFE + Random Forest,20,2.0,300,,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'gap', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'volume_change_1d', 'volume_sma_20', 'volume_ratio_20', 'target_return_5d']",0.05099487439617718
RFE + Random Forest,20,0.1,300,,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'gap', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'volume_change_1d', 'volume_sma_20', 'volume_ratio_20', 'target_return_5d']",0.05099487439617718
RFE + Random Forest,25,1.0,300,10.0,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'high_low_range', 'gap', 'sma_5', 'sma_20', 'sma_60', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_change_1d', 'volume_sma_20', 'volume_ratio_20', 'target_return_5d']",0.05110319436956567
RFE + Random Forest,25,0.1,300,10.0,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'high_low_range', 'gap', 'sma_5', 'sma_20', 'sma_60', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_change_1d', 'volume_sma_20', 'volume_ratio_20', 'target_return_5d']",0.05110319436956567
RFE + Random Forest,25,2.0,300,10.0,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'high_low_range', 'gap', 'sma_5', 'sma_20', 'sma_60', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_change_1d', 'volume_sma_20', 'volume_ratio_20', 'target_return_5d']",0.05110319436956567
RFE + Random Forest,25,1.0,500,10.0,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'high_low_range', 'gap', 'sma_5', 'sma_20', 'sma_60', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_change_1d', 'volume_sma_20', 'volume_ratio_20', 'target_return_5d']",0.051132753850513205
RFE + Random Forest,25,0.1,500,10.0,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'high_low_range', 'gap', 'sma_5', 'sma_20', 'sma_60', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_change_1d', 'volume_sma_20', 'volume_ratio_20', 'target_return_5d']",0.051132753850513205
RFE + Random Forest,25,2.0,500,10.0,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'high_low_range', 'gap', 'sma_5', 'sma_20', 'sma_60', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_change_1d', 'volume_sma_20', 'volume_ratio_20', 'target_return_5d']",0.051132753850513205
RFE + Random Forest,10,1.0,500,10.0,0.5,"['return_1d', 'return_10d', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20']",0.0511804407426851
RFE + Random Forest,10,0.1,500,10.0,0.5,"['return_1d', 'return_10d', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20']",0.0511804407426851
RFE + Random Forest,10,2.0,500,10.0,0.5,"['return_1d', 'return_10d', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20']",0.0511804407426851
RFE + Random Forest,20,0.1,500,,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'gap', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'volume_change_1d', 'volume_sma_20', 'volume_ratio_20', 'target_return_5d']",0.05118158970647902
RFE + Random Forest,20,2.0,500,,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'gap', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'volume_change_1d', 'volume_sma_20', 'volume_ratio_20', 'target_return_5d']",0.05118158970647902
RFE + Random Forest,10,2.0,300,10.0,0.5,"['return_1d', 'return_10d', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20']",0.05124298051017456
RFE + Random Forest,10,0.1,300,10.0,0.5,"['return_1d', 'return_10d', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20']",0.05124298051017456
RFE + Random Forest,10,1.0,300,10.0,0.5,"['return_1d', 'return_10d', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20']",0.05124298051017457
RFE + Random Forest,25,0.1,500,,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'high_low_range', 'gap', 'sma_5', 'sma_20', 'sma_60', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_change_1d', 'volume_sma_20', 'volume_ratio_20', 'target_return_5d']",0.05124482873944154
RFE + Random Forest,25,2.0,500,,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'high_low_range', 'gap', 'sma_5', 'sma_20', 'sma_60', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_change_1d', 'volume_sma_20', 'volume_ratio_20', 'target_return_5d']",0.05124482873944155
RFE + Random Forest,25,1.0,500,,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'high_low_range', 'gap', 'sma_5', 'sma_20', 'sma_60', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_change_1d', 'volume_sma_20', 'volume_ratio_20', 'target_return_5d']",0.05124482873944155
RFE + Random Forest,10,0.1,500,,0.5,"['return_1d', 'return_10d', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20']",0.0512732507612237
RFE + Random Forest,10,2.0,500,,0.5,"['return_1d', 'return_10d', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20']",0.05127325076122371
RFE + Random Forest,10,1.0,500,,0.5,"['return_1d', 'return_10d', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20']",0.05127325076122371
RFE + Random Forest,20,1.0,100,,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'gap', 'sma_60', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'volume_sma_20', 'volume_ratio_20', 'target_return_5d']",0.05128756595648935
RFE + Random Forest,10,0.1,300,,0.5,"['return_1d', 'return_10d', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20']",0.0513084103496541
RFE + Random Forest,10,1.0,300,,0.5,"['return_1d', 'return_10d', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20']",0.05130841034965411
RFE + Random Forest,10,2.0,300,,0.5,"['return_1d', 'return_10d', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20']",0.05130841034965411
RFE + Random Forest,25,2.0,100,10.0,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'high_low_range', 'gap', 'sma_5', 'sma_20', 'sma_60', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_change_1d', 'volume_sma_20', 'volume_ratio_20', 'target_return_5d']",0.05135765423835693
RFE + Random Forest,25,1.0,100,10.0,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'high_low_range', 'gap', 'sma_5', 'sma_20', 'sma_60', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_change_1d', 'volume_sma_20', 'volume_ratio_20', 'target_return_5d']",0.05135765423835693
RFE + Random Forest,25,0.1,100,10.0,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'high_low_range', 'gap', 'sma_5', 'sma_20', 'sma_60', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_change_1d', 'volume_sma_20', 'volume_ratio_20', 'target_return_5d']",0.05135765423835693
RFE + Random Forest,25,2.0,300,,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'high_low_range', 'gap', 'sma_5', 'sma_20', 'sma_60', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_change_1d', 'volume_sma_20', 'volume_ratio_20', 'target_return_5d']",0.05138864401853685
RFE + Random Forest,25,1.0,300,,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'high_low_range', 'gap', 'sma_5', 'sma_20', 'sma_60', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_change_1d', 'volume_sma_20', 'volume_ratio_20', 'target_return_5d']",0.05138864401853685
RFE + Random Forest,25,0.1,300,,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'high_low_range', 'gap', 'sma_5', 'sma_20', 'sma_60', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_change_1d', 'volume_sma_20', 'volume_ratio_20', 'target_return_5d']",0.05138864401853685
RFE + Random Forest,10,1.0,100,10.0,0.5,"['return_1d', 'return_10d', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20']",0.051448895473917754
RFE + Random Forest,10,2.0,100,10.0,0.5,"['return_1d', 'return_10d', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20']",0.051448895473917754
RFE + Random Forest,10,0.1,100,10.0,0.5,"['return_1d', 'return_10d', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20']",0.051448895473917754
RFE + Random Forest,10,2.0,100,,0.5,"['return_1d', 'return_10d', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20']",0.05144909055141944
RFE + Random Forest,10,1.0,100,,0.5,"['return_1d', 'return_10d', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20']",0.05144909055141944
RFE + Random Forest,10,0.1,100,,0.5,"['return_1d', 'return_10d', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20']",0.05144909055141944
RFE + Random Forest,25,2.0,100,,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'high_low_range', 'gap', 'sma_5', 'sma_20', 'sma_60', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_change_1d', 'volume_sma_20', 'volume_ratio_20', 'target_return_5d']",0.05164917676899811
RFE + Random Forest,25,0.1,100,,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'high_low_range', 'gap', 'sma_5', 'sma_20', 'sma_60', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_change_1d', 'volume_sma_20', 'volume_ratio_20', 'target_return_5d']",0.05164917676899811
RFE + Random Forest,25,1.0,100,,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'high_low_range', 'gap', 'sma_5', 'sma_20', 'sma_60', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_change_1d', 'volume_sma_20', 'volume_ratio_20', 'target_return_5d']",0.05164917676899811
RFE + Random Forest,10,2.0,300,,sqrt,"['return_1d', 'return_10d', 'return_20d', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'macd_hist', 'volatility_5', 'volatility_20']",0.0520353870056171
RFE + Random Forest,10,2.0,300,,log2,"['return_1d', 'return_10d', 'return_20d', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'macd_hist', 'volatility_5', 'volatility_20']",0.0520353870056171
RFE + Random Forest,10,0.1,300,,sqrt,"['return_1d', 'return_10d', 'return_20d', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'macd_hist', 'volatility_5', 'volatility_20']",0.0520353870056171
RFE + Random Forest,10,0.1,300,,log2,"['return_1d', 'return_10d', 'return_20d', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'macd_hist', 'volatility_5', 'volatility_20']",0.0520353870056171
RFE + Random Forest,10,1.0,100,,log2,"['return_1d', 'return_10d', 'return_20d', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'macd_hist', 'volatility_5', 'volatility_20']",0.05206560165493175
RFE + Random Forest,10,1.0,100,,sqrt,"['return_1d', 'return_10d', 'return_20d', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'macd_hist', 'volatility_5', 'volatility_20']",0.05206560165493175
