,return_1d,return_5d,return_10d,return_20d,intraday_return,high_low_range,gap,sma_5,sma_20,sma_60,price_to_sma_5,price_to_sma_20,price_to_sma_60,rsi_14,roc_10,roc_20,macd,macd_signal,macd_hist,volatility_5,volatility_20,atr_14,volume_change_1d,volume_sma_20,volume_ratio_20
return_1d,0.0,0.1234585205691845,0.06586272321486408,0.05316951911109857,0.6464757941602381,0.18438987124712103,0.20549802317100685,0.13482189778637288,0.05470342152468888,0.0007053484120325137,0.4332882673606928,0.08400897030640486,0.020202083333138,0.07588715137921742,0.06586272321486408,0.05316951911109857,0.0,0.000510293742983059,0.029407138237579566,0.13312207396392406,0.050403649292353414,0.024989094991698657,0.12221184508064997,0.061600037723454903,0.15031791263735528
return_5d,0.1234585205691845,0.0,0.36234978230282877,0.13386476349914567,0.04088869178528576,0.03610703207392696,0.06545724135832653,0.019685716765256878,0.020813911631468507,0.04623743679769543,0.5425726739176735,0.4422029990793881,0.1749787517877941,0.3641199477696979,0.36234978230282877,0.13386476349914567,0.07919620542516714,0.057140745105009216,0.25532468967819,0.1409542081916717,0.09875131489287803,0.042795419943329804,0.0,0.0723013124471672,0.09541271867310552
return_10d,0.06586272321486408,0.36234978230282877,0.0,0.39013340045859035,0.036547259201354265,0.09008214451261143,0.048655280600553574,0.12876866331826253,0.11051930004686827,0.17963056055467153,0.19780170957984478,0.9828547805165715,0.3243458178322678,0.6016840925248865,6.268449723815031,0.39013340045859035,0.2123961528223548,0.10239302605610945,0.582722547610885,0.10461086957696697,0.17288221258848857,0.14254054063627652,0.0036937686730214025,0.1741178982230034,0.05739016600265767
return_20d,0.05316951911109857,0.13386476349914567,0.39013340045859035,0.0,0.0015327482916109858,0.03686074605722123,0.06122987688380288,0.2595451392597603,0.18577768745472056,0.2715077721707253,0.11547920285711655,0.6415777295217668,0.6891466760196572,0.6855302842729771,0.39023106470148416,6.279094060422428,0.6515030584299204,0.4038774244713794,0.24732716742984895,0.14856079342948814,0.325733586691598,0.266493360667555,0.0,0.2670515661262245,0.07207309732948719
intraday_return,0.6464757941602381,0.04088869178528576,0.036547259201354265,0.0015327482916109858,0.0,0.5410854244265755,0.029509902499619933,0.1275857190143821,0.09220552426980433,0.04965886196121083,0.24268699588363596,0.08908954071759645,0.011290484682325186,0.046021953333944765,0.036186288209584916,0.0014154346927996997,0.004066561912368094,0.0,0.0,0.0670462998727075,0.039756623936316515,0.03345860618856733,0.037703515473144655,0.016559916533858576,0.1144461779797501
high_low_range,0.18438987124712103,0.03610703207392696,0.09008214451261143,0.03686074605722123,0.5410854244265755,0.0,0.0021158840747235175,0.18005883899862418,0.13282980288269552,0.07938458254402558,0.12868217290442363,0.11649992032972012,0.041938294107216834,0.057499038096870514,0.09000230800935682,0.03691048036926858,0.07752830306913161,0.08298469743748349,0.08089953698689456,0.14433688478785456,0.12497465623144244,0.0735177252190713,0.07849636419643602,0.1096076686965688,0.142225960272639
gap,0.20549802317100685,0.06545724135832653,0.048655280600553574,0.06122987688380288,0.029509902499619933,0.0021158840747235175,0.0,0.37516361807657006,0.2753412901680088,0.20193949398381505,0.14504521753937638,0.06181513444909559,0.04360120055358152,0.038199818112439665,0.050722242782083704,0.06232287732625785,0.04253479870975507,0.06899017480437042,0.0015616718619329006,0.04191618262432151,0.06796341087886137,0.15583707588060758,0.04001800372881714,0.12686395578802045,0.0750248056170495
sma_5,0.13482189778637288,0.019685716765256878,0.12876866331826253,0.2595451392597603,0.1275857190143821,0.18005883899862418,0.37516361807657006,0.0,2.4733245056460293,2.2736232905676723,0.013367817088964618,0.2161947883571651,0.5006674859019071,0.23460989620777184,0.12880437509469367,0.25936114511264163,1.057421684790544,1.1202981245141208,0.4984083718824479,0.2396223258421073,0.8368011976842751,1.6258981619137867,0.0,1.35733232772398,0.03557201414901989
sma_20,0.05470342152468888,0.020813911631468507,0.11051930004686827,0.18577768745472056,0.09220552426980433,0.13282980288269552,0.2753412901680088,2.4733245056460293,0.0,2.772744756436387,0.04537027898801593,0.20606323396629644,0.39906762858676625,0.19317956231162237,0.11025343034421375,0.1858276958284537,0.9069803099692701,1.1174072952763154,0.5290530670493401,0.24370149703942134,0.9047829861657104,1.8163271047897354,0.0,1.491675959723135,0.05279642285270336
sma_60,0.0007053484120325137,0.04623743679769543,0.17963056055467153,0.2715077721707253,0.04965886196121083,0.07938458254402558,0.20193949398381505,2.2736232905676723,2.772744756436387,0.0,0.04282087440331894,0.23277868082992015,0.4664447669218732,0.2396458423021084,0.1800545249852301,0.27159163829739885,0.9664945783273429,1.11035097710216,0.5851286150923536,0.2516654261270461,0.9250346487359016,1.8341353026205907,0.020885730744041986,1.619017723210907,0.06799559683258449
price_to_sma_5,0.4332882673606928,0.5425726739176735,0.19780170957984478,0.11547920285711655,0.24268699588363596,0.12868217290442363,0.14504521753937638,0.013367817088964618,0.04537027898801593,0.04282087440331894,0.0,0.2930783097881102,0.11102978403533559,0.2707964791716915,0.1980987491174515,0.11558274959065162,0.023668469315263785,0.0555511901197292,0.09937718595028144,0.10575725572091699,0.09101193383705386,0.06300590309647003,0.03350472886278766,0.05165556319326381,0.17019424046399756
price_to_sma_20,0.08400897030640486,0.4422029990793881,0.9828547805165715,0.6415777295217668,0.08908954071759645,0.11649992032972012,0.06181513444909559,0.2161947883571651,0.20606323396629644,0.23277868082992015,0.2930783097881102,0.0,0.5411879647008382,1.086269421665099,0.9828493688801254,0.6414775294815027,0.32489041236919736,0.20019570480614668,0.5662103808509729,0.17184248267047764,0.2005537276718643,0.18854406356915998,0.0,0.16181652172902794,0.10569113454694978
price_to_sma_60,0.020202083333138,0.1749787517877941,0.3243458178322678,0.6891466760196572,0.011290484682325186,0.041938294107216834,0.04360120055358152,0.5006674859019071,0.39906762858676625,0.4664447669218732,0.11102978403533559,0.5411879647008382,0.0,0.8408999786699427,0.3244738490479646,0.6890111865336515,1.0435474525139976,0.853918681376129,0.20622023913345,0.18149052825958645,0.3580240227712501,0.3683787729846406,0.0,0.3873876695702805,0.05611070814448382
rsi_14,0.07588715137921742,0.3641199477696979,0.6016840925248865,0.6855302842729771,0.046021953333944765,0.057499038096870514,0.038199818112439665,0.23460989620777184,0.19317956231162237,0.2396458423021084,0.2707964791716915,1.086269421665099,0.8408999786699427,0.0,0.6015799922219993,0.6854037484100788,0.5290362528204327,0.32772151148717654,0.3344779829118236,0.10238996375244014,0.14014012706513235,0.15081357342780866,0.04019995969851031,0.17448283898502126,0.1106816019694401
roc_10,0.06586272321486408,0.36234978230282877,6.268449723815031,0.39023106470148416,0.036186288209584916,0.09000230800935682,0.050722242782083704,0.12880437509469367,0.11025343034421375,0.1800545249852301,0.1980987491174515,0.9828493688801254,0.3244738490479646,0.6015799922219993,0.0,0.39013340045859035,0.2123961528223548,0.10239302605610945,0.582722547610885,0.10461086957696697,0.17288221258848857,0.14254054063627652,0.0036937686730214025,0.1741178982230034,0.05739016600265767
roc_20,0.05316951911109857,0.13386476349914567,0.39013340045859035,6.279094060422428,0.0014154346927996997,0.03691048036926858,0.06232287732625785,0.25936114511264163,0.1858276958284537,0.27159163829739885,0.11558274959065162,0.6414775294815027,0.6890111865336515,0.6854037484100788,0.39013340045859035,0.0,0.6515030584299204,0.4038774244713794,0.24732716742984895,0.14856079342948814,0.325733586691598,0.266493360667555,0.0,0.2670515661262245,0.07207309732948719
macd,0.0,0.07919620542516714,0.2123961528223548,0.6515030584299204,0.004066561912368094,0.07752830306913161,0.04253479870975507,1.057421684790544,0.9069803099692701,0.9664945783273429,0.023668469315263785,0.32489041236919736,1.0435474525139976,0.5290362528204327,0.2123961528223548,0.6515030584299204,0.0,1.4039685886375044,0.3680756330567374,0.18742339994988866,0.5027646989655681,0.7999934653449241,0.00032586884661700566,0.6511132923755643,0.05073537859097055
macd_signal,0.000510293742983059,0.057140745105009216,0.10239302605610945,0.4038774244713794,0.0,0.08298469743748349,0.06899017480437042,1.1202981245141208,1.1174072952763154,1.11035097710216,0.0555511901197292,0.20019570480614668,0.853918681376129,0.32772151148717654,0.10239302605610945,0.4038774244713794,1.4039685886375044,0.0,0.3173729129124907,0.1699036976375754,0.5656290654852221,0.9358551020367152,0.022292803596895894,0.7860794000666731,0.017460394704022164
macd_hist,0.029407138237579566,0.25532468967819,0.582722547610885,0.24732716742984895,0.0,0.08089953698689456,0.0015616718619329006,0.4984083718824479,0.5290530670493401,0.5851286150923536,0.09937718595028144,0.5662103808509729,0.20622023913345,0.3344779829118236,0.582722547610885,0.24732716742984895,0.3680756330567374,0.3173729129124907,0.0,0.15352501497176974,0.30417077405974036,0.5438214245966586,0.0,0.3658507035007226,0.021300564793284238
volatility_5,0.13312207396392406,0.1409542081916717,0.10461086957696697,0.14856079342948814,0.0670462998727075,0.14433688478785456,0.04191618262432151,0.2396223258421073,0.24370149703942134,0.2516654261270461,0.10575725572091699,0.17184248267047764,0.18149052825958645,0.10238996375244014,0.10461086957696697,0.14856079342948814,0.18742339994988866,0.1699036976375754,0.15352501497176974,0.0,0.3701567992991297,0.27127358474462326,0.026134243034078075,0.2744600683089917,0.05200341993116986
volatility_20,0.050403649292353414,0.09875131489287803,0.17288221258848857,0.325733586691598,0.039756623936316515,0.12497465623144244,0.06796341087886137,0.8368011976842751,0.9047829861657104,0.9250346487359016,0.09101193383705386,0.2005537276718643,0.3580240227712501,0.14014012706513235,0.17288221258848857,0.325733586691598,0.5027646989655681,0.5656290654852221,0.30417077405974036,0.3701567992991297,0.0,0.7939033376569906,0.0,0.8774521027599436,0.0011522013030331735
atr_14,0.024989094991698657,0.042795419943329804,0.14254054063627652,0.266493360667555,0.03345860618856733,0.0735177252190713,0.15583707588060758,1.6258981619137867,1.8163271047897354,1.8341353026205907,0.06300590309647003,0.18854406356915998,0.3683787729846406,0.15081357342780866,0.14254054063627652,0.266493360667555,0.7999934653449241,0.9358551020367152,0.5438214245966586,0.27127358474462326,0.7939033376569906,0.0,0.017577645330698388,1.271379128585174,0.0195004686753677
volume_change_1d,0.12221184508064997,0.0,0.0036937686730214025,0.0,0.037703515473144655,0.07849636419643602,0.04001800372881714,0.0,0.0,0.020885730744041986,0.03350472886278766,0.0,0.0,0.04019995969851031,0.0036937686730214025,0.0,0.00032586884661700566,0.022292803596895894,0.0,0.026134243034078075,0.0,0.017577645330698388,0.0,0.019713915977567886,0.18099313760095548
volume_sma_20,0.061600037723454903,0.0723013124471672,0.1741178982230034,0.2670515661262245,0.016559916533858576,0.1096076686965688,0.12686395578802045,1.35733232772398,1.491675959723135,1.619017723210907,0.05165556319326381,0.16181652172902794,0.3873876695702805,0.17448283898502126,0.1741178982230034,0.2670515661262245,0.6511132923755643,0.7860794000666731,0.3658507035007226,0.2744600683089917,0.8774521027599436,1.271379128585174,0.019713915977567886,0.0,0.027985698029395767
volume_ratio_20,0.15031791263735528,0.09541271867310552,0.05739016600265767,0.07207309732948719,0.1144461779797501,0.142225960272639,0.0750248056170495,0.03557201414901989,0.05279642285270336,0.06799559683258449,0.17019424046399756,0.10569113454694978,0.05611070814448382,0.1106816019694401,0.05739016600265767,0.07207309732948719,0.05073537859097055,0.017460394704022164,0.021300564793284238,0.05200341993116986,0.0011522013030331735,0.0195004686753677,0.18099313760095548,0.027985698029395767,0.0
