n_features_to_select,rfe_step,selected_features,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,rmse,mae,r2
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",300,3,0.03,1.0,1.0,0.10577669456184415,0.07971175888682337,-0.021011716556804227
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",300,3,0.1,0.8,0.8,0.11073187766521803,0.08391364766200007,-0.11891235994739358
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",300,3,0.1,0.8,1.0,0.1128769763999103,0.08562390908398826,-0.16268341606011227
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",300,3,0.1,1.0,0.8,0.11287051899660042,0.08637537727080653,-0.16255039157231432
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",300,3,0.1,1.0,1.0,0.10949614776701308,0.08314482207935486,-0.09407834820457595
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",300,5,0.03,0.8,0.8,0.11012217488595862,0.08261916187284922,-0.10662455552874839
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",300,5,0.03,0.8,1.0,0.1087472753598267,0.08194597921480787,-0.07916415596883297
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",300,5,0.03,1.0,0.8,0.10857854792877299,0.08200436203465038,-0.07581798774634341
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",300,5,0.03,1.0,1.0,0.11153985489465305,0.08355322562050457,-0.13530066725496237
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",300,5,0.1,0.8,0.8,0.11317073741372817,0.08513157650894762,-0.16874303089532972
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",300,5,0.1,0.8,1.0,0.11301779990211147,0.08492244534081683,-0.16558631603582352
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",300,5,0.1,1.0,0.8,0.11261045728610654,0.08515414696093863,-0.1571993655373185
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",300,5,0.1,1.0,1.0,0.11274798196554683,0.08538177806305546,-0.16002753357818333
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",500,2,0.03,0.8,0.8,0.10678794653691755,0.07974730651353466,-0.040627296349032394
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",500,2,0.03,0.8,1.0,0.10716366857575518,0.08018088580014733,-0.047962851429335984
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",500,2,0.03,1.0,0.8,0.10550134766364364,0.0784144070132823,-0.015703051864488282
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",500,2,0.03,1.0,1.0,0.10493695968775561,0.07807522415955165,-0.004864948332091723
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",500,2,0.1,0.8,0.8,0.1152905465023134,0.0873812800598417,-0.21293670469226922
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",500,2,0.1,0.8,1.0,0.11417120133620598,0.08648835640674965,-0.18949846084850064
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",500,2,0.1,1.0,0.8,0.1163248614579354,0.0876479646654915,-0.2347977535132948
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",500,2,0.1,1.0,1.0,0.11498066291724626,0.08660495990080466,-0.20642508607136945
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",500,3,0.03,0.8,0.8,0.10975522391476966,0.0829875640359173,-0.0992618170509112
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",500,3,0.03,0.8,1.0,0.10909903461163473,0.08256574501431066,-0.08615688145726708
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",500,3,0.03,1.0,0.8,0.10921233416271439,0.08272075530703053,-0.08841400475984806
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",500,3,0.03,1.0,1.0,0.10717946223788097,0.08101365112788383,-0.04827176938749145
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",500,3,0.1,0.8,0.8,0.11229959653940244,0.08528215967436115,-0.15081929473735012
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",500,3,0.1,0.8,1.0,0.11438358819572783,0.0868503317524715,-0.19392810370884872
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",500,3,0.1,1.0,0.8,0.1139123782229195,0.08718426688773649,-0.1841114503759278
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",500,3,0.1,1.0,1.0,0.11196699050419873,0.08533836831207016,-0.14401245631000936
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",500,5,0.03,0.8,0.8,0.11152126541343368,0.08360465469378175,-0.13492227530209266
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",500,5,0.03,0.8,1.0,0.1103524193075198,0.08312791453729851,-0.11125687402142681
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",500,5,0.03,1.0,0.8,0.11005102410952726,0.08325100244631403,-0.105195020377012
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",500,5,0.03,1.0,1.0,0.11283307242992643,0.08498775426469847,-0.16177913084502538
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",500,5,0.1,0.8,0.8,0.11446300250845358,0.08595442508953054,-0.19558652158853485
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",500,5,0.1,0.8,1.0,0.11395572743334804,0.08539767266725586,-0.18501284606397483
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",500,5,0.1,1.0,0.8,0.11281288917564261,0.08496885410732664,-0.1613635366240047
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",500,5,0.1,1.0,1.0,0.11360620919807699,0.08592099545950968,-0.17775479193393928
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",100,2,0.03,0.8,0.8,0.10158908194776795,0.07594566377500979,0.058230082043738696
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",100,2,0.03,0.8,1.0,0.10074793494456781,0.07483645041545064,0.0737610308273784
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",100,2,0.03,1.0,0.8,0.10099799411220634,0.07534218548891658,0.0691574231672305
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",100,2,0.03,1.0,1.0,0.10062184546247151,0.07480876743097253,0.07607801944413117
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",100,2,0.1,0.8,0.8,0.10221265495732923,0.07683632586219273,0.046633074681698305
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",100,2,0.1,0.8,1.0,0.10315010686955049,0.0778940105364042,0.029065110457008436
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",100,2,0.1,1.0,0.8,0.10286565483425951,0.07754160326523343,0.034412726735485344
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",100,2,0.1,1.0,1.0,0.10391761573978135,0.07825370601133672,0.014562487601191387
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",100,3,0.03,0.8,0.8,0.1041997991649739,0.07790345350370924,0.00920340234446726
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",100,3,0.03,0.8,1.0,0.10236970689299688,0.07609186833093166,0.04370108643974757
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",100,3,0.03,1.0,0.8,0.10345843963588693,0.07706301071833672,0.0232518644148213
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",100,3,0.03,1.0,1.0,0.10229408901518502,0.07618279915273146,0.045113351622542375
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",100,3,0.1,0.8,0.8,0.10716993330470662,0.080445324482105,-0.04808538167119325
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",100,3,0.1,0.8,1.0,0.10704940271767915,0.0807079970729238,-0.045729211338352505
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",100,3,0.1,1.0,0.8,0.1048220887081863,0.07911999415632873,-0.0026661683653164125
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",100,3,0.1,1.0,1.0,0.10157995851063924,0.07664688579193196,0.05839923000041747
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",100,5,0.03,0.8,0.8,0.10460243694039766,0.07775907116802763,0.0015315469908492307
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",100,5,0.03,0.8,1.0,0.10482771283645635,0.07747817359342299,-0.0027737654279831325
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",100,5,0.03,1.0,0.8,0.1073833500895412,0.07947106738667511,-0.0522638246578504
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",100,5,0.03,1.0,1.0,0.10545948189010704,0.07821061734015658,-0.014897095206729993
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",100,5,0.1,0.8,0.8,0.10921558728692284,0.08323289700506278,-0.08847884722858934
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",100,5,0.1,0.8,1.0,0.10833853244028338,0.08250546438265649,-0.07106700163025259
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",100,5,0.1,1.0,0.8,0.11010194779787932,0.0821187292950159,-0.10621806634223119
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",100,5,0.1,1.0,1.0,0.11124470961917103,0.08421892830155582,-0.12930038505571728
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",300,2,0.03,0.8,0.8,0.1028001806250568,0.0773335490815711,0.03564153226954059
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",300,2,0.03,0.8,1.0,0.10199083155600898,0.076345800846989,0.05076660622247153
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",300,2,0.03,1.0,0.8,0.10267139498148284,0.0772851493943698,0.038056269880584304
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",300,2,0.03,1.0,1.0,0.10353674469110984,0.07758394943203399,0.021772753353803687
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",300,2,0.1,0.8,0.8,0.10708578546791951,0.08161940672947644,-0.046440153560517894
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",300,2,0.1,0.8,1.0,0.10764605340585934,0.08133458035687537,-0.05741865229399079
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",300,2,0.1,1.0,0.8,0.11073381923035268,0.08472119456847901,-0.11895159815626943
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",300,2,0.1,1.0,1.0,0.11153695898113816,0.08494615402375758,-0.13524171631103088
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",300,3,0.03,0.8,0.8,0.1065915984275492,0.08069612110744345,-0.03680406788171009
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",300,3,0.03,0.8,1.0,0.10445233083511914,0.07853243456990475,0.004395126038756358
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",300,3,0.03,1.0,0.8,0.10395817231128439,0.07793235529517158,0.01379315190133834
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",300,3,0.03,1.0,1.0,0.10279491591496787,0.07746040132922444,0.03574030520393623
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",300,3,0.1,0.8,0.8,0.11227820942678368,0.08438576469897241,-0.15038099649030157
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",300,3,0.1,0.8,1.0,0.11219162610462086,0.08577077609880074,-0.14860744836894457
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",300,3,0.1,1.0,0.8,0.108183006765666,0.08159898027883263,-0.06799406260866458
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",300,3,0.1,1.0,1.0,0.10567955305941229,0.08030882340876862,-0.019137256975890526
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",300,5,0.03,0.8,0.8,0.10661801790317438,0.08037223630532106,-0.03731808990278851
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",300,5,0.03,0.8,1.0,0.10698674185358528,0.08022828327260657,-0.04450534429055719
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",300,5,0.03,1.0,0.8,0.10800836080289614,0.08115224407841064,-0.06454859919856237
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",300,5,0.03,1.0,1.0,0.10787172924649414,0.08115911413989034,-0.06185697546648883
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",300,5,0.1,0.8,0.8,0.11302947288917639,0.08589873531547997,-0.1658271024719402
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",300,5,0.1,0.8,1.0,0.11215136944358123,0.08519740261236852,-0.14778330834081643
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",300,5,0.1,1.0,0.8,0.113974623036122,0.08546869555202175,-0.18540586515928315
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",300,5,0.1,1.0,1.0,0.1130949643452532,0.0857140776982836,-0.16717849927757444
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",500,2,0.03,0.8,0.8,0.10465046049562851,0.07941000248158943,0.0006145317977436227
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",500,2,0.03,0.8,1.0,0.10342673292265067,0.0783726628363458,0.02385045700079036
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",500,2,0.03,1.0,0.8,0.10607700525623785,0.08054352941204648,-0.026817456704772313
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",500,2,0.03,1.0,1.0,0.10733789828497023,0.08133698010855153,-0.051373236539223655
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",500,2,0.1,0.8,0.8,0.11034398395929733,0.08400373266256157,-0.1110869913765824
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",500,2,0.1,0.8,1.0,0.11267128701984629,0.08609641964568159,-0.15844989134352372
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",500,2,0.1,1.0,0.8,0.11340799105646138,0.08692687219230143,-0.17364852510284612
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",500,2,0.1,1.0,1.0,0.11509164890701498,0.08787730017129886,-0.20875523274265717
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",500,3,0.03,0.8,0.8,0.10879990045448265,0.08239654317708932,-0.08020886916973202
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",500,3,0.03,0.8,1.0,0.10588201843547042,0.07995258136515787,-0.023046010551858842
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",500,3,0.03,1.0,0.8,0.10543660395117477,0.07956558352839888,-0.014456807906604308
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",500,3,0.03,1.0,1.0,0.10361128095401001,0.0782118880252286,0.020363791758850835
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",500,3,0.1,0.8,0.8,0.1172788267151464,0.08832641516789029,-0.2551336347191988
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",500,3,0.1,0.8,1.0,0.11451734520251437,0.08730270137498233,-0.19672202937915206
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",500,3,0.1,1.0,0.8,0.11225804306814058,0.08493603581095423,-0.14996779231690294
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",500,3,0.1,1.0,1.0,0.10942605267712559,0.08353389405204459,-0.09267802545476944
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",500,5,0.03,0.8,0.8,0.10888215772142129,0.0821413188115925,-0.0818428526198145
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",500,5,0.03,0.8,1.0,0.10897967187296694,0.08180943650094796,-0.08378150318295119
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",500,5,0.03,1.0,0.8,0.11139731882837065,0.08370995033447737,-0.13240093430990507
