feature,spearman,abs_spearman
volume_ratio_20,0.06155578971667505,0.06155578971667505
high_low_range,-0.04763213448890889,0.04763213448890889
macd_hist,0.04546179415207707,0.04546179415207707
macd,0.04197762112611007,0.04197762112611007
return_20d,0.04028878084674602,0.04028878084674602
roc_20,0.04028878084674602,0.04028878084674602
macd_signal,0.03918733848927397,0.03918733848927397
volatility_20,-0.036352908298774265,0.036352908298774265
rsi_14,0.03533654524799387,0.03533654524799387
price_to_sma_20,0.03485996103658172,0.03485996103658172
price_to_sma_60,0.031171591550378228,0.031171591550378228
volume_sma_20,0.031113920750785364,0.031113920750785364
sma_60,0.023761954237562867,0.023761954237562867
intraday_return,-0.020894838318261753,0.020894838318261753
return_5d,0.019125858435068727,0.019125858435068727
roc_10,0.01833019094697347,0.01833019094697347
return_10d,0.01833019094697347,0.01833019094697347
return_1d,-0.01772706648500807,0.01772706648500807
sma_20,0.015785442342397635,0.015785442342397635
volatility_5,0.014797578973424414,0.014797578973424414
atr_14,0.014438268000909726,0.014438268000909726
volume_change_1d,0.012212990047927271,0.012212990047927271
sma_5,0.010941049903108933,0.010941049903108933
gap,0.009664055733136988,0.009664055733136988
price_to_sma_5,0.002820472037526729,0.002820472037526729
