stock_code,trade_date,return_1d,return_5d,return_10d,return_20d,intraday_return,high_low_range,gap,sma_5,sma_20,sma_60,price_to_sma_5,price_to_sma_20,price_to_sma_60,rsi_14,roc_10,roc_20,macd,macd_signal,macd_hist,volatility_5,volatility_20,atr_14,atr_pct,macd_hist_pct,volume_change_1d,volume_sma_20,volume_ratio_20,target_return_5d
660,2002-10-29,-0.1440290130385977,0.0977851605758581,0.5074513381995134,0.1881817092173079,-0.1512842465753424,0.1881367900736406,0.0085484845868233,10521.4,7866.55,9415.683333333332,-0.0578250042769973,0.2601458072471414,0.0528179048785626,56.55390322729867,0.5074513381995134,0.1881817092173079,531.9885285855435,29.19707555414795,502.7914530313955,0.1257223488107883,0.0965055531817327,1049.4152950495554,0.1058625335468128,0.0507204128953289,0.5588874558355981,30002541.2,1.910190960757684,-0.009886008271966
5380,2002-10-29,-0.0180722891566265,0.0601626016260161,0.0957983193277312,0.1684587813620071,-0.0091185410334346,0.0291858678955452,-0.0090361445783132,32160.0,29822.5,31795.833333333332,0.013681592039801,0.0931343784055662,0.025291573843533,55.85772745287591,0.0957983193277312,0.1684587813620071,427.21358241754206,-87.64946443078688,514.863046848329,0.0325771517112976,0.0455955686681216,1694.0819736952933,0.0519657047145795,0.0157933449953475,-0.234209814000685,1554639.45,0.7679568404108104,-0.0736196319018405
5930,2002-10-29,-0.0221606648199446,0.1048513302034428,0.1766666666666667,0.1825795644891121,-0.0180806675938803,0.028328611898017,-0.0041551246537395,6864.0,6230.0,6428.666666666667,0.0285547785547786,0.1332263242375602,0.0982059525044072,64.92321827965654,0.1766666666666667,0.1825795644891121,167.75696670289653,26.653421550462973,141.10354515243355,0.029880055490112,0.0335471853941509,269.5252881790516,0.0381763864276277,0.019986337840288,-0.2161100672978055,46947427.5,0.9637791122846934,0.0240793201133144
35720,2002-10-29,-0.0674282087894653,0.0970511384845091,0.1228271251193886,0.2490437739056523,-0.0517825455718664,0.0712328767123287,-0.0165000793273044,5815.6,5212.2,5388.483333333334,0.0107297613315908,0.1277387667395726,0.0908449811171356,59.23440346280882,0.1228271251193886,0.2490437739056523,181.5925479082016,58.64040497440371,122.95214293379787,0.0630634464686298,0.0429265826552084,337.4877580476933,0.0574154062687467,0.0209173431326638,-0.1849747254759127,3915268.5,1.5054114424081004,-0.0176930928887376
660,2002-10-30,-0.0890749520831232,-0.1238113720163012,0.314410480349345,0.0697784622675039,-0.0416047548291232,0.1511669233503139,-0.0495309189952587,10266.2,7896.0,9371.516666666666,-0.1204145642983772,0.1436170212765957,-0.0364419846663026,51.34829376719522,0.314410480349345,0.0697784622675039,470.5798936772899,117.47363917877637,353.1062544985135,0.1142095252055363,0.099175433605178,1079.59991683173,0.1195570229049535,0.0391036826687168,-0.178158822777985,31873747.35,1.4777113115317455,0.1521594684385381
5380,2002-10-30,-0.0414110429447852,-0.0234375,0.017915309446254,0.128158844765343,-0.0443425076452599,0.0598705501618122,0.0030674846625766,32010.0,30000.0,31764.166666666668,-0.0237425804436113,0.0416666666666667,-0.0161870031744366,50.96215775586021,0.017915309446254,0.128158844765343,385.9177875664864,7.063985968667767,378.8538015978186,0.0352095154939828,0.0468520000461994,1705.218975574201,0.0545670072183744,0.0121233216511301,0.5849052178749239,1538350.4,1.2300266571257108,0.0383999999999999
5930,2002-10-30,-0.0424929178470254,0.0304878048780488,0.1081967213114754,0.1361344537815125,-0.0259365994236311,0.0512048192771084,-0.0169971671388101,6904.0,6270.5,6434.833333333333,-0.0208574739281576,0.0780639502432023,0.0505322593177757,56.946901414883726,0.1081967213114754,0.1361344537815125,168.78077638425384,55.07889251722115,113.70188386703268,0.0404545086950897,0.0353939858487172,280.27348188054793,0.0414605742426846,0.016819805305774,0.3989716433925381,48383200.0,1.3082888275269102,0.081360946745562
35720,2002-10-30,-0.0321537938074174,0.013539996436843,0.1168040832351786,0.1849614663611747,-0.051991334777537,0.0849379161418031,0.0209254848587954,5830.8,5256.6,5395.25,-0.0243191328805653,0.0822584940836281,0.0544460404985867,55.28950988042325,0.1168040832351786,0.1849614663611747,177.30854846459897,82.37403367244276,94.9345147921562,0.064494229572276,0.0439863539802707,347.09577533000095,0.0610117376217263,0.0166873817528838,-0.3120846475028376,4042224.05,1.0030703270888708,0.0165231147829143
660,2002-10-31,0.0325581395348837,-0.1284352215367358,0.1874681609780948,0.2837670384138786,-0.0404445816610065,0.0869324473975636,0.0760797342192691,9991.4,7999.05,9340.433333333332,-0.0667974458033908,0.165638419562323,-0.0017593759033306,52.90274085173901,0.1874681609780948,0.2837670384138786,440.55797295227785,182.09050593347663,258.4674670188012,0.1135270274829949,0.0929667741632046,1058.5570656294638,0.1135303588191188,0.0277206635584299,-0.3477245328719113,32259647.4,0.9523446620188416,0.042149292149292
5380,2002-10-31,-0.0096,-0.0064205457463883,-0.0080128205128204,0.072790294627383,-0.0190174326465927,0.0373983739837398,0.0096,31970.0,30105.0,31756.666666666668,-0.0319049108539255,0.0280684271715661,-0.0254014905006823,49.9152099123862,-0.0080128205128204,0.072790294627383,325.2339849046439,70.69798575586299,254.5359991487809,0.0332853084393242,0.0462650924108438,1665.5604773189011,0.0538145550022262,0.0082241033650656,-0.3993384462206137,1473593.5,0.7712975118307729,0.0452342487883683
