stock_code,trade_date,return_1d,return_5d,return_10d,return_20d,intraday_return,high_low_range,gap,sma_5,sma_20,sma_60,price_to_sma_5,price_to_sma_20,price_to_sma_60,rsi_14,roc_10,roc_20,macd,macd_signal,macd_hist,volatility_5,volatility_20,atr_14,volume_change_1d,volume_sma_20,volume_ratio_20,target_return_5d
000660,2024-06-11,0.02163461538461542,0.09423274974253348,0.05459057071960305,0.18121178432462481,0.011904761904761862,0.043689320388349495,0.009615384615384581,203000.0,196550.0,182846.66666666666,0.046798029556650356,0.08114983464767245,0.16217595799759366,69.29805942873003,0.05459057071960305,0.18121178432462481,6187.902396973892,5195.01656291191,992.8858340619818,0.031047676563260598,0.023996167451614415,6757.468051226343,0.2536594090310136,3435519.8,0.8936531234662074,0.10352941176470587
000660,2024-06-12,0.0117647058823529,0.11226073460941532,0.06172839506172845,0.16974972796517962,0.014150943396226356,0.023696682464454888,-0.0023529411764705577,207340.0,198110.0,183703.33333333334,0.03694414970579718,0.08525566604411683,0.1703652628331911,70.81333503462106,0.06172839506172845,0.16974972796517962,6911.664994875726,5538.346249304674,1373.3187455710522,0.028769538435505292,0.02381415995674786,6631.934618995891,-0.29927792107454876,3381585.2,0.6361900921496817,0.086046511627907
000660,2024-06-13,0.032558139534883734,0.14610221992772332,0.09629629629629632,0.19805720453318942,-0.017699115044247815,0.03424657534246567,0.051162790697674376,213000.0,199945.0,184705.0,0.04225352112676051,0.11030533396684095,0.2019165696651417,74.594277507736,0.09629629629629632,0.19805720453318942,7958.354608674854,6022.34792117871,1936.006687496144,0.0266916469072191,0.024432375483820015,6979.653574781899,1.685444034414044,3532295.7,1.635559276648328,0.06981981981981988
000660,2024-06-14,-0.0045045045045044585,0.06506024096385543,0.12927950945324485,0.14507772020725396,-0.01777777777777778,0.04166666666666674,0.013513513513513598,215700.0,201345.0,185701.66666666666,0.024571163653221983,0.09761851548337441,0.19008086446899597,73.1366804443423,0.12927950945324485,0.14507772020725396,8607.944994316058,6539.46733580618,2068.477658509878,0.014806316657676195,0.02338592363259617,7123.964033726049,-0.42685423362797603,3443697.95,0.961531193524101,0.05882352941176472
000660,2024-06-17,0.009049773755656076,0.07211538461538458,0.17864693446088786,0.17430226434965768,0.0182648401826484,0.047945205479452024,-0.009049773755656076,218700.0,203000.0,186680.0,0.019661636945587535,0.09852216748768483,0.19455753160488531,74.22161216043317,0.17864693446088786,0.17430226434965768,9178.331250937335,7067.240118832411,2111.0911321049243,0.013915452868895293,0.022744931542691908,7365.109459888474,-0.33609424674810484,3411545.25,0.644382483274991,0.0
000660,2024-06-18,0.05156950672645744,0.10352941176470587,0.20751802265705455,0.23356128353498162,0.033039647577092435,0.033039647577092435,0.017937219730941756,223100.0,205220.0,187918.33333333334,0.05109816225907671,0.1426761524217912,0.2478825021507569,79.37876427755387,0.20751802265705455,0.23356128353498162,10437.99762007437,7741.391619080803,2696.6060009935663,0.02203690419529337,0.024624169839377954,7660.458784182154,0.4266360071690458,3388750.4,0.9254830335099333,-0.04051172707889128
000660,2024-06-19,-0.004264392324093813,0.086046511627907,0.20796689084324882,0.21614583333333326,-0.006382978723404209,0.049676025917926525,0.002132196162046851,226800.0,207295.0,189201.66666666666,0.029541446208112943,0.12641404761330466,0.23413289171166585,77.9189944903985,0.20796689084324882,0.21614583333333326,11226.19209595013,8438.35171445467,2787.84038149546,0.02457061621310733,0.024855083664978513,7934.7117281691435,0.198461465370376,3453277.55,1.0884303232446522,0.01498929336188426
000660,2024-06-20,0.017130620985010614,0.06981981981981988,0.22612287041817236,0.20131512392513917,0.017130620985010614,0.032467532467532534,0.0,229900.0,209285.0,190326.66666666666,0.03305785123966931,0.13481615978211536,0.24785456583417997,79.53981273305021,0.22612287041817236,0.20131512392513917,12034.877886497241,9157.656948863185,2877.220937634056,0.0230302540525914,0.024490735162486118,7903.660890442777,-0.22116812091143312,3402173.5,0.8604375996697405,-0.004210526315789442
000660,2024-06-21,-0.01473684210526316,0.05882352941176472,0.12771084337349392,0.16999999999999993,0.015184381778741818,0.019565217391304346,-0.02947368421052632,232500.0,210985.0,191396.66666666666,0.006451612903225712,0.10908358414105268,0.22259182500566022,74.39408711016968,0.12771084337349392,0.16999999999999993,12252.111735085462,9776.54790610764,2475.5638289778217,0.025396106915023146,0.02507237360311662,7874.827969696864,0.31463046200703837,3360500.75,1.145184687133309,0.010683760683760646
000660,2024-06-24,-0.047008547008547064,0.0,0.07211538461538458,0.12286002014098685,-0.021929824561403466,0.045454545454545414,-0.02564102564102566,232500.0,212205.0,192290.0,-0.04086021505376347,0.050870620390659926,0.15970669301575735,61.03061954242954,0.07211538461538458,0.12286002014098685,11405.191112354456,10102.276547357003,1302.9145649974525,0.03673073527616862,0.02779503535333161,8312.340257575659,0.3202198111731802,3424843.45,1.4834914571058715,0.056053811659192876
