alpha,l1_ratio,n_selected_features,selected_features,MSE,RMSE,MAE,R2
0.005,0.2,7,"['intraday_return', 'gap', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14', 'volume_ratio_20']",0.011547907267933623,0.10746118958923553,0.07896320807719528,-0.05378989692148117
0.002,0.5,7,"['intraday_return', 'gap', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14', 'volume_ratio_20']",0.011565575943444272,0.10754336773341382,0.07901288207288185,-0.05540222990209043
0.001,1.0,7,"['intraday_return', 'gap', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14', 'volume_ratio_20']",0.011571839289499074,0.10757248388644317,0.07903024065386297,-0.055973783746465555
0.001,0.95,7,"['intraday_return', 'gap', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14', 'volume_ratio_20']",0.011631086399411907,0.10784751457225107,0.0792034503452105,-0.061380304980083844
0.0045,0.2,7,"['intraday_return', 'gap', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14', 'volume_ratio_20']",0.011666203070833658,0.10801019892044296,0.07930802331766812,-0.06458483309926177
0.001,0.9,7,"['intraday_return', 'gap', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14', 'volume_ratio_20']",0.011693566193244511,0.10813679389201675,0.07937907306732808,-0.06708182075908242
0.004,0.2,10,"['intraday_return', 'high_low_range', 'gap', 'sma_60', 'rsi_14', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_ratio_20']",0.011797134128237394,0.10861461286694987,0.07964922032590965,-0.076532783691871
0.001,0.8,9,"['intraday_return', 'high_low_range', 'gap', 'sma_60', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_ratio_20']",0.011829859614587174,0.1087651580911239,0.07972732600474335,-0.07951910719509159
0.0015,0.5,10,"['intraday_return', 'high_low_range', 'gap', 'sma_60', 'rsi_14', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_ratio_20']",0.0118831317687269,0.10900977831702484,0.07984183722170066,-0.08438039128035335
0.0035,0.2,11,"['intraday_return', 'high_low_range', 'gap', 'sma_60', 'rsi_14', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_change_1d', 'volume_ratio_20']",0.011910104094788211,0.1091334233623605,0.07989267115857557,-0.08684171730596213
0.003,0.2,11,"['intraday_return', 'high_low_range', 'gap', 'price_to_sma_5', 'rsi_14', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_change_1d', 'volume_ratio_20']",0.012035702891347108,0.10970735112720162,0.08014979688373826,-0.0983030790755346
0.0025,0.2,11,"['intraday_return', 'high_low_range', 'gap', 'price_to_sma_5', 'rsi_14', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_change_1d', 'volume_ratio_20']",0.012111785182510262,0.11005355597394507,0.0803010782050369,-0.10524587380900119
0.001,0.5,11,"['intraday_return', 'high_low_range', 'gap', 'price_to_sma_5', 'rsi_14', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_change_1d', 'volume_ratio_20']",0.012120520964565212,0.11009323759688971,0.08032101642092018,-0.10604304672160136
0.0005,1.0,11,"['intraday_return', 'high_low_range', 'gap', 'price_to_sma_5', 'rsi_14', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_change_1d', 'volume_ratio_20']",0.012123444626884382,0.11010651491571415,0.08032766227104289,-0.10630984188564852
0.0005,0.95,12,"['intraday_return', 'high_low_range', 'gap', 'price_to_sma_5', 'price_to_sma_60', 'rsi_14', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_change_1d', 'volume_ratio_20']",0.01214327330998945,0.11019652131528222,0.08035990911272763,-0.10811928366939072
0.0005,0.9,12,"['intraday_return', 'high_low_range', 'gap', 'price_to_sma_5', 'price_to_sma_60', 'rsi_14', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_change_1d', 'volume_ratio_20']",0.012163877194016823,0.11028996869170297,0.08039264657210372,-0.10999946544792638
0.002,0.2,12,"['intraday_return', 'high_low_range', 'gap', 'price_to_sma_5', 'price_to_sma_60', 'rsi_14', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_change_1d', 'volume_ratio_20']",0.012197946312377184,0.11044431317354997,0.08044644215085019,-0.11310840041702352
0.0005,0.8,12,"['intraday_return', 'high_low_range', 'gap', 'price_to_sma_5', 'price_to_sma_60', 'rsi_14', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_change_1d', 'volume_ratio_20']",0.012207103826972642,0.11048576300579474,0.0804660904006235,-0.1139440580074167
0.0015,0.2,16,"['return_5d', 'return_10d', 'intraday_return', 'high_low_range', 'gap', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_change_1d', 'volume_ratio_20']",0.012388316435172903,0.11130281413860524,0.08079470828040754,-0.1304803889014554
0.0005,0.5,15,"['return_5d', 'return_10d', 'intraday_return', 'high_low_range', 'gap', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_change_1d', 'volume_ratio_20']",0.012526463755981867,0.11192168581638622,0.08105059939916438,-0.14308685062456794
0.001,0.2,19,"['return_5d', 'return_10d', 'return_20d', 'intraday_return', 'high_low_range', 'gap', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_20', 'macd', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_change_1d', 'volume_sma_20', 'volume_ratio_20']",0.012692433031812191,0.11266069870106518,0.0813296213445264,-0.15823217020598035
0.0005,0.2,19,"['return_5d', 'return_20d', 'intraday_return', 'high_low_range', 'gap', 'sma_5', 'sma_20', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_change_1d', 'volume_ratio_20']",0.014279539225131503,0.11949702600956855,0.08422138822405738,-0.3030615694258334
