feature,importance
volume_sma_20,141
sma_60,141
volatility_20,126
macd_signal,118
sma_5,112
atr_14,86
price_to_sma_60,82
macd_hist,73
macd,64
volatility_5,63
return_10d,60
high_low_range,60
rsi_14,57
sma_20,53
volume_ratio_20,51
return_20d,48
price_to_sma_5,44
return_5d,38
volume_change_1d,33
gap,32
price_to_sma_20,30
intraday_return,28
return_1d,22
roc_10,20
roc_20,9
