feature,split,ic_close_raw,t_close_raw,ic_close_bn,t_close_bn,ic_open_raw,t_open_raw,ic_open_bn,t_open_bn
return_1d,train,-0.039929013419834056,-12.21089819077359,-0.037400085063404594,-11.927167660728712,-0.05276213677543718,-16.07337008807638,-0.04919473398616909,-15.770956523413803
return_5d,train,-0.05940779170942691,-10.24066661405215,-0.05373477427985462,-9.942066619828578,-0.06475674545559557,-11.226943481495088,-0.05776896233250449,-10.784830567257918
return_10d,train,-0.03679306770187354,-5.985803962121688,-0.03295438478602488,-5.821523715542004,-0.03800785363979358,-6.270908498472161,-0.03351206291721575,-5.987862554690981
return_20d,train,-0.021794505116562144,-3.3296270055514476,-0.016019037045044877,-2.6436149313018884,-0.02175010798787398,-3.4039804679574632,-0.015281076773953276,-2.5688961474164413
intraday_return,train,-0.04009078116509413,-12.341886246396648,-0.03808920014588407,-12.20709083134106,-0.046109909317474475,-14.322520767042754,-0.04300024529102934,-13.924101671821557
high_low_range,train,0.014481152401599749,3.0703737493898724,0.009245636907503211,2.3529429870954828,0.008326351683404166,1.7915798200998796,0.005683237391086407,1.4543065440232448
gap,train,-0.004471143982498371,-1.3461545816494418,-0.004415049843027314,-1.3987962932577995,-0.022178812699630547,-6.631307043478825,-0.02188233775338019,-6.896734768633702
price_to_sma_5,train,-0.06755857189326933,-13.12107215565871,-0.06257988277791275,-12.71651423061053,-0.07861641127259483,-15.285530614188364,-0.07193837281600271,-14.70881276428871
price_to_sma_20,train,-0.04071924710027511,-6.344407655760606,-0.03557948531156999,-5.9013994797004505,-0.04282828771943644,-6.783300896536879,-0.036775359155861734,-6.188821190045441
price_to_sma_60,train,-0.01950358748805267,-2.713596435942337,-0.014924031069087391,-2.2375472359819226,-0.019423537219100076,-2.755266179139948,-0.013887299063821903,-2.1191990159336096
rsi_14,train,-0.03309482220668116,-5.186629443132469,-0.029704650989251215,-4.728581615445294,-0.0349431813496824,-5.558852711324877,-0.03065144838474488,-4.950204071185705
roc_10,train,-0.03679306770187354,-5.985803962121688,-0.03295438478602488,-5.821523715542004,-0.03800785363979358,-6.270908498472161,-0.03351206291721575,-5.987862554690981
roc_20,train,-0.021794505116562144,-3.3296270055514476,-0.016019037045044877,-2.6436149313018884,-0.02175010798787398,-3.4039804679574632,-0.015281076773953276,-2.5688961474164413
volatility_5,train,0.01155303378298381,2.146696011263876,0.01024402759556552,2.3830409520597784,0.0037635674517023693,0.7083653664215661,0.005612915363845036,1.3052774985979838
volatility_20,train,0.011712700816674098,1.7708227115900035,0.0073792270122259055,1.5932883776007243,0.0020836267739023106,0.3240442838981509,0.0023303388934683006,0.5125464947078796
atr_pct,train,0.018906380944311654,2.685528279958856,0.014265643161760756,2.8619419250358713,0.010103242875643535,1.4726538463256933,0.010062363100235415,2.0485412385655497
macd_hist_pct,train,-0.03450983117452536,-5.58610316156953,-0.030408812930016973,-5.434959476520571,-0.03460900982160353,-5.700810882578697,-0.030505681059842128,-5.518925954824687
volume_change_1d,train,0.008021821498467821,3.8990140930887245,0.006382789723025427,3.1112715444322667,0.0037567700335822338,1.8020501176191535,0.0026818621972111317,1.2818696530106917
volume_ratio_20,train,0.019638641587802003,5.128315734418512,0.01989444477553406,5.195729905398829,0.011219157472567477,2.9207152846401634,0.011870785291442412,3.1085128485648093
gap_sum_5,train,-0.02177105411472752,-4.2394581369239175,-0.01878642415081294,-3.9260642733235933,-0.03819379742150328,-7.59550047030388,-0.03440129093000122,-7.34566493490501
intraday_sum_5,train,-0.05269253289121175,-9.476905106229983,-0.04816262870832049,-9.033701910816859,-0.050041816886710715,-9.009002173561237,-0.04443803074124236,-8.370392934585938
range_mean_5,train,0.013701639962679198,2.19885109573455,0.009963481793832088,1.9867121789109092,0.006356850534033177,1.0341719173745978,0.006110707783069793,1.2239966972551846
return_1d,validation,-0.009808226272315092,-1.219619849311766,-0.007692387654094929,-0.9836763461191277,-0.021712758826030746,-2.73743281771471,-0.018306015722992616,-2.385328338572251
return_5d,validation,-0.010365324092211213,-0.7669306641208176,-0.006645458402036098,-0.5204456724244393,-0.017153028655412832,-1.2927584599283846,-0.013635425275435585,-1.083505583374528
return_10d,validation,-0.014892284019247219,-1.031575339616211,-0.016004011413020595,-1.1856208603772065,-0.020463619511314382,-1.4598471379804963,-0.02113945984673747,-1.615960207786186
return_20d,validation,-0.015029376487880584,-0.9840972850353663,-0.011896223488396267,-0.8233219151977408,-0.01997770861446381,-1.36013377707983,-0.017192592697211868,-1.2248151345168576
intraday_return,validation,-0.0085175766374521,-1.1047989179894304,-0.0072077974615637145,-0.9728486222925832,-0.016526282291622563,-2.1872759452383264,-0.013443232884704231,-1.8650356788394762
high_low_range,validation,-0.008168983012840572,-0.6781252851947563,-0.014199969470995544,-1.4460078020422142,-0.02040111118993566,-1.7350253211118498,-0.022326414601609598,-2.32444180210278
gap,validation,-0.007240608235387134,-1.0429381526823494,-0.003216737758793921,-0.46909882557154703,-0.01779007549995047,-2.583840264399882,-0.014046822030564876,-2.067327896485952
price_to_sma_5,validation,-0.008213242614631255,-0.6451322910876495,-0.005260165138335644,-0.43232267399866936,-0.019888031058543955,-1.5762025255469703,-0.015958723863893885,-1.3272264610803182
price_to_sma_20,validation,-0.013247655200580835,-0.8663606152213318,-0.012629615368311866,-0.8843542960234891,-0.019139219695980432,-1.302409896962193,-0.01825083923046032,-1.328468795780556
price_to_sma_60,validation,-0.02536092948862439,-1.6056180046237223,-0.015662823455076327,-1.0301909625992238,-0.029968119192295167,-1.966428327693974,-0.020841909920637114,-1.420558942591797
rsi_14,validation,-0.02054997936148706,-1.3686661028190386,-0.0167797197579443,-1.1386772184157339,-0.026336131246193207,-1.8210967505515387,-0.02288111209684154,-1.6134222921931847
roc_10,validation,-0.014892284019247219,-1.031575339616211,-0.016004011413020595,-1.1856208603772065,-0.020463619511314382,-1.4598471379804963,-0.02113945984673747,-1.615960207786186
roc_20,validation,-0.015029376487880584,-0.9840972850353663,-0.011896223488396267,-0.8233219151977408,-0.01997770861446381,-1.36013377707983,-0.017192592697211868,-1.2248151345168576
volatility_5,validation,-0.02082333017873655,-1.70497140918072,-0.024422858513663145,-2.2586894830657833,-0.030709169045931378,-2.5746979166663984,-0.02997764728602162,-2.8567396177816304
volatility_20,validation,-0.010682734323681964,-0.7107242488383665,-0.0191543896475029,-1.594024034488725,-0.02342019996249547,-1.5923999920861134,-0.026202068267752416,-2.2367198265085557
atr_pct,validation,-0.006103809880841593,-0.35550721492138093,-0.015736638355512783,-1.1810745131244234,-0.019036468034186706,-1.1431550049161467,-0.022769821271431255,-1.7589005452184396
macd_hist_pct,validation,-0.0023987179749266735,-0.16399030036277498,-0.009731371053124131,-0.7509163981661018,-0.005744146001761951,-0.40323066815067077,-0.012270328043202012,-0.9672710838055247
volume_change_1d,validation,0.001977975285429054,0.46863267788793245,0.0019878001646349494,0.4904055111128727,-0.005009654587212177,-1.2023717529408824,-0.004943206700956118,-1.222120015066465
volume_ratio_20,validation,-0.005126508044653765,-0.570356243792105,-0.0037461326485431533,-0.43344846197776904,-0.010778448719407707,-1.1852128534752746,-0.009669908666519338,-1.1052560198906698
gap_sum_5,validation,-0.031231265467581166,-2.912967608925317,-0.02688845026762824,-2.496905172418008,-0.045779410044717014,-4.3289946828053445,-0.04078292615458593,-3.8547783227364727
intraday_sum_5,validation,0.005683703620004777,0.4464522291224878,0.007085750259957045,0.59825360380563,0.00466343693859708,0.37598001931341796,0.005765328719222231,0.49633965890222337
range_mean_5,validation,-0.008413226653791132,-0.5501558217193997,-0.015562204294913843,-1.2327201180038154,-0.021090530344852615,-1.41132053728187,-0.023768122380520597,-1.9274005734751247
